g_flow_rule_tab                                                                                                                            
key_fid             0       1       2       3       4       5       6       7       8       9       10      11      12      13      14      15 
sid                 0       4       8       9       0       5       10      15      0       4       8       12      0       5       10      15 
did                 0       0       0       0       4       4       4       4       8       9       10      11      12      12      12      12 
pri                 0       0       0       1       0       1       2       3       0       0       0       0       0       1       2       3 
len                 64      64      64      128     64      128     256     512     64      64      64      64      64      128     256     512 
sport               0       1       2       2       0       1       2       3       0       1       2       3       0       1       2       3 
dport               0       0       0       0       1       1       1       1       2       2       2       2       3       3       3       3 
qid                 0       0       0       1       0       1       2       3       0       0       0       0       0       1       2       3 
len2add             0       1       2       3       4       5       6       7       8       9       10      11      12      13      14      15 
flw_spd             13      13      13      13      13      13      26      13      13      78      26      13      13      13      13      13 
g_hash_rule_tab                                                                                                                            
key_sid             0       4       8       9       0       5       10      15      0       4       8       12      0       5       10      15 
key_did             0       0       0       0       4       4       4       4       8       9       10      11      12      12      12      12 
key_pri             0       0       0       1       0       1       2       3       0       0       0       0       0       1       2       3 
hash_fid            0       1       2       3       4       5       6       7       8       9       10      11      12      13      14      15 
g_que_rule_tab                                                                                                                             
key_qid             0       1       2       3       4       5       6       7       8       9       10      11      12      13      14      15 
pri                 0       1       2       3      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1 
rr_weight           15      3       3       2       0       0       0       0       0       0       0       0       0       0       0       0 
g_port_rule_tab                                                                                                                            
key_ports           0       1       2       3                                                                                              
port_spd            100     100     100     100                                                                                            
EOF
