g_flow_rule_tab   
key_fid             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
sid                 0      4      8      12     0      4      8      12     0      4      8      12     0      4      8      12 
did                 0      1      2      3      4      5      6      7      0      1      2      3      4      5      6      7 
pri                 0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
len                 64     128    256    512    64     128    256    512    64     128    256    512    64     128    256    512 
sport               0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
dport               0      0      0      0      1      1      1      1      0      0      0      0      1      1      1      1 
qid                 0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
len2add             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
flw_spd             10     10     10     10     20     20     20     20     10     10     10     10     20     20     20     20 
g_hash_rule_tab                                                                                                  
key_sid             0      4      8      12     0      4      8      12     0      4      8      12     0      4      8      12 
key_did             0      1      2      3      4      5      6      7      0      1      2      3      4      5      6      7 
key_pri             99     1      2      3      0      1      2      3      0      1      2      3      0      1      99     3 
hash_fid            0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
g_que_rule_tab     
key_qid             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
pri                 0      1      2      3     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
rr_weight           6      6      6      6      0      0      0      0      0      0      0      0      0      0      0      0 
g_port_rule_tab    
key_ports           0      1      2      3                                                                                  
port_spd            100    100    100    100                                                                                
EOF
