g_flow_rule_tab
key_fid             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
sid                 0      4      8      12     1      5      9      13     2      6      10     14     3      7      11     15 
did                 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
pri                 0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
len                 64     63     62     61     60     59     58     57     56     55     54     53     52     51     50     49 
sport               0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
dport               0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
qid                 0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
len2add             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
flw_spd             18     18     18     18     18     18     18     18     18     18     18     18     18     18     18     18 
g_hash_rule_tab
key_sid             0      4      8      12     1      5      9      13     2      6      10     14     3      7      11     15 
key_did             0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
key_pri             0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      99 
hash_fid            0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
g_que_rule_tab
key_qid             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
pri                 0      1      2      3     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
rr_weight           4      4      4      4      0      0      0      0      0      0      0      0      0      0      0      0 
g_port_rule_tab
key_ports           0      1      2      3                                                                                  
port_spd            100    100    100    100                                                                                
EOF
